Food,Rasa,Virya,Vipaka,Dosha_Effect
Ratatouille with Lentils,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Mutton Rogan Josh,"Pungent, Sweet",Heating,Pungent,"Increases Pitta, balances Kapha"
Tomato Soup,"Sour, Sweet",Cooling,Sour,"Balances Pitta, cleanses Vata"
Creamy Tomato Pasta,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata, Pitta"
Aubergine Ratatouille with Indian Spices,"Sweet, Sour, Astringent",Cooling,Sweet,Balances all doshas
Lentil Soup with Turmeric,"Sweet, Bitter, Astringent",Heating,Sweet,"Balances Vata, Pitta, Kapha"
Egg Fried Rice,"Salty, Sour",Heating,Sour,"Balances Kapha, May elevate Pitta"
Sweety Corn Soup,"Sweet, Sour",Cooling,Sweet,"Balances Vata, Mild Kapha pacification"
Butter Paneer Naan,"Sweet, Salty",Heating,Sweet,"Balances Vata, enhances Kapha when eaten with ghee"
Quinoa Tabbouleh,"Sweet, Sour, Salty",Cooling,Sour,"Balances Vata and Pitta, neutral for Kapha"
Lentil Dahl,"Sweet, Astringent, Pungent",Heating,Pungent,"Energizes Kapha, stabilizes Vata with tempered spices"
Spaghetti Marinara,"Sweet, Sour, Salty",Cooling,Sweet,"Balanced for all doshas, with olive oil helps Vata and Pitta"
Tomato Basil Soup with Garlic Croutons,"Sour, Pungent, Salty",Cooling,Sour,"Balances Vata and Pitta, Varies with fat content for Kapha"
Paneer Tawa Masala,"Sweet, Pungent",Heating,Pungent,"Balances Vata and Kapha, Increases Pitta slightly"
Maida Puri,"Sweet, Salty, Fried",Heating,Sweet,Increases Kapha; Balances Vata in small portions; raises Pitta with oily fats
Fish Curry (Meen Kari)|,"Sour, Pungent",Heating,Pungent,Balances Pitta; Vata stable; Kapha may rise with coconut oil
Mediterranean Lentil Soup,"Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; Supports Pitta with moderate spices
Rava Idli,"Sweet, Mild",Cooling,Sweet,"Calms Vata, light for Kapha, gentle for Pitta"
Jeera Rice with Cumin,"Sweet, Pungent, Astringent",Cooling,Sour,"Calms Vata, Supports Pitta balance, slight Kapha uplift"
Mughlai Chicken,"Sweet, Salty, Rich",Heating,Sweet,"Balances all three doshas with heavy, warming profile"
Samosa (Potato),"Salty, Spicy, Sour",Heating,Pungent,"Increases Kapha, reduces Vata when paired with cooling chutney"
Roti with Sabzi,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances all three doshas, especially Vata and Kapha"
Vegetable Sushi,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata, Mild Kapha support"
Masoor Dal Khichdi,"Sweet, Salty",Cooling,Sweet,"Gentle for Vata, balances Pitta, light on Kapha"
Tom Yum Soup (Indian-style),"Sour, Salty, Spicy",Heating,Pungent,"Balances Kapha and Pitta, can increase Vata if very spicy"
Masala Dosa with Sambar,"Sour, Spicy, Salty",Heating,Pungent,"Balances Vata and Kapha if moderate oil, stimulates Pitta with heavy spices"
Spaghetti Aglio e Olio (Vegetarian variant),"Salty, Pungent",Cooling,Pungent,"Vata stimulation limited, balances Kapha, supports Pitta with olive oil"
Masoor Dal Curry,"Sweet, Sour",Cooling,Sweet,Balances Vata and Pitta
Aubergine Parmigiana,"Bitter, Sweet",Cooling,Sweet,Balances Vata and Kapha
Spiced Chickpea Bowl,"Sweet, Pungent",Heating,Pungent,"Balances Kapha, Pacifies Pitta"
Tomato Basil Bruschetta,"Sweet, Sour",Cooling,Sour,"Balances Pitta, Vata"
Bircher Muesli with Yogurt,"Sweet, Sour",Cooling,Sweet,Balances Vata and Pitta
Rasam (South Indian Tomato Soup),"Sour, Pungent",Heating,Sour,"Balances Kapha, pacifies Vata"
Daala Chutney,"Pungent, Astringent",Heating,Pungent,"Pitta-leaning, energizes Kapha; light on Vata."
Green Gram Curry (Cherupayar)**,"Sweet, Pungent",Cooling,Sweet,Balances Vata and Kapha; light on Pitta.
Cauliflower Pepper Fry,"Pungent, Salty",Heating,Pungent,"Stimulates Kapha, balances Vata; Pitta caution with peppers."
Gujarati Undhiyu,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Kapha, calms Vata when not oily"
Biryani with Vegetables,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata and Kapha when moderate oil; Pitta may rise with heavy spices, saffron helps"
Spicy Paneer Wrap,"Sweet, Pungent, Salty",Heating,Pungent,"Increases Kapha, agitates Pitta if very spicy"
Pulao,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, slightly elevates Pitta with rich ghee"
Rajgira Khichdi,"Salty, Sweet",Cooling,Sweet,"Balancing, gentle for Vata and Kapha during monsoon"
Gobi Manchurian,"Sweet, Sour, Spicy",Heating,Pungent,"Increases Kapha, stimulates Pitta with heat"
Rajgira Pancakes,"Sweet, Astringent",Cooling,Sweet,"Balances Vata and Pitta, gentle Kapha release"
Quinoa Salad with Roasted Vegetables,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, light and energizing"
Caprese Salad with Paneer,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Vata and Pitta, gentle on Kapha"
Gnocchi with Sage Butter,"Sweet, Umami, Salty",Cooling,Sweet,"Balances Vata and Kapha, mild effect on Pitta"
Rajbandar Halwa,"Sweet, Rich",Cooling,Sweet,"Balances Vata, increases Kapha when consumed in excess"
Paneer Paratha,"Sweet, Salty, Mild Spicy",Heating,Sweet,"Balances Vata, increases Kapha"
Makai Roti with Saag,"Earthy, Bitter, Sweet",Cooling,Sweet,"Balances Vata and Kapha, supports digestion"
Chole Chole,"Pungent, Bitter",Heating,Pungent,Balances Kapha; may stimulate Vata if spices are excessive.
Rajgira Pulao,"Astringent, Sweet",Cooling,Sweet,Balances Vata and Pitta; light for Kapha.
Rasam (South Indian),"Sour, Salty",Heating,Sour,"Balances Kapha, stimulates Vata and Pitta slightly depending on tamarind content"
Quinoa Veg Stir-Fry,"Sweet, Umami (savory)",Cooling,Sweet,Balances all three doshas when cooked with minimal oil
Jackfruit Biryani,"Sweet, Pungent",Heating,Sweet,"Balances Vata, can increase Kapha if heavy on ghee; Pitta moderated with acidity management"
Cauliflower Rice Pilaf,"Salty, Nutty (umami)",Cooling,Sweet,"Balances Vata and Kapha, cools Pitta through lower oil content"
Gulab Jamun,"Sweet, Astringent",Heating,Sweet,"Increases Kapha, balances Vata with moderate use"
Rajgira Poori,"Salty, Slightly Sweet",Heating,Sweet,"Balances Kapha, can mildly aggravate Vata when undernourished"
Stir-Fried Tofu with Vegetables,"Pungent, Salty",Heating,Pungent,"Balances Kapha, calms Vata when cooked with sesame oil"
Butter Paneer Naan Pizza,"Sweet, Salty, Umami",Heating,Sweet,Balances all doshas with moderate consumption
Tomato Bathuary,"Sour, Sweet",Cooling,Sour,"Pacifies Vata, balances Pitta, mild Kapha increase"
Daikon Salad with Sesame,"Astringent, Salty",Cooling,Pungent,"Balances Vata and Kapha, reduces Pitta slighty"
Saffron Rice,"Sweet, Astringent",Cooling,Sweet,"Balances all three doshas, especially Vata and Pitta"
Rasam (Tamil Tamarind Soup),"Sour, Spicy",Heating,Sour,"Balances Pitta, lightens Kapha, may increase Vata if consumed cold"
Caprese Salad,"Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; cools Pitta when not spiced heavily
Sushi Platter,"Umami, Sour, Sweet",Cooling,Sweet,Balances Kapha; pacifies Pitta in moderation; Vata neutral
Tom Yum Soup,"Sour, Salty, Pungent",Heating,Pungent,Balances Kapha and Pitta; Vata may be dry if spicy; use coconut for balance
Green Curry with Tofu,"Sweet, Salty, Sour",Cooling,Sweet,Balances Vata and Kapha; mild to Pitta with coconut milk
Quinoa Veg Bowl with Tahini,"Sweet, Nutty",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Tomato Pasta,"Sweet, Sour",Cooling,Sour,"Balances Pitta, Mildly increases Vata"
Spicy Green Curry,"Pungent, Sweet",Heating,Pungent,"Increases Pitta, Balances Kapha"
Aubergine Curry,"Bitter, Sweet, Sour",Cooling,Sweet,Balances Vata; supports Kapha control; slight Pitta elevation without heat
Idli with Coconut Chutney,"Sweet, Sour, Salty",Cooling,Sweet,Balances Vata and Kapha; light for Pitta
Quinoa Stir-fry with Vegetables,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, soothing for Pitta"
Shakshuka with Indian spices,"Sweet, Salty, Pungent",Heating,Pungent,Balances Kapha and Pitta; Vata supported by eggs
Quinoa Kitchari,"Sweet, Astringent",Heating,Sweet,"Balances Vata and Kapha, supports digestion; Pitta neutral to cooling in this preparation"
Makkai ki Roti with Sarson saag,"Bitter, Astringent, Sweet",Cooling,Sweet,"Balances Vata and Kapha, calming for digestion; Pitta neutral"
Green Gram Sprout Salad,"Sweet, Astringent",Cooling,Sweet,"Balances all doshas; light, digestive and refreshing"
Makai Roti with Sabzi,"Sweet, Salty",Cooling,Sweet,Balances Vata and Kapha; light on Pitta
Ragi Mudde with Saru,"Sweet, Salty",Cooling,Sweet,Grounding for Vata; supports Kapha with whole grain; Pitta neutral
Quinoa Sushi,"Sweet, Umami, Sour",Cooling,Sour,Balances Vata and Pitta; light for Kapha
Cauliflower Wings,"Salty, Umami, Sweet",Cooling,Sweet,"Balances Vata and Kapha, Neutral for Pitta"
Paneer00 Sizzler,"Sweet, Salty, Pungent",Heating,Pungent,"Increases Kapha, Balances Pitta, Vata mildly reduced"
Quinoa Salad with Kale,"Bitter, Astringent, Sweet",Cooling,Sweet,Balances all doshas with emphasis on Kapha
Mango Smoothie,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Pitta, Reduces Kapha"
Grilled Salmon with Lemon,"Sour, Salty, Umami",Cooling,Sour,Balances Pitta; reduces Kapha when paired with greens
Paneer Wrap,"Sweet, Salty, Astringent",Heating,Sweet,Balanc es Vata; mildly increases Kapha
Lentil Curry (Dal Tadka),"Sweet, Pungent, Astringent",Heating,Pungent,"Balances Vata and Kapha, reduces Pitta slightly"
Aubergine Stir-Fry,"Sweet, Salty, Astringent",Cooling,Sweet,Balances Vata and Kapha; soothes Pitta
Butter Paneer Naan Roll,"Sweet, Salty, Pungent",Heating,Pungent,Balances Vata; increases Kapha; manages Pitta with dairy
Paneer Cheese Sandwich,"Sweet, Salty",Heating,Sweet,Balanced for all doshas when made with whole grains and minimal oil
Fruit Custard,Sweet,Cooling,Sweet,Calms Vata and Kapha; mildly increases Pitta if overly sweet
Chilli Paneer,"Pungent, Sweet",Heating,Pungent,Increases Pitta with spiciness; balances Kapha with moderate heat; varies with oil content
Rajma with Rice,"Sweet, Salty",Cooling,Sweet,Balances all doshas when portioned well
Cauliflower Rice Stir-Fry,"Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, light for Pitta"
Quinoa pulao with vegetables,"Sweet, Astringent",Cooling,Sweet,Balances all three doshas with diverse veg mix
Sambhar (Tamil Lentil Stew),"Sweet, Sour, Salty",Heating,Sour,"Balances Vata and Pitta, Slight Kapha boost"
Ratatouille with Rice,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances Vata and Kapha, Pitta mildly affected"
Quinoa Salad with Roasted Veg,"Sweet, Sour",Cooling,Sweet,Balances all doshas with slight Vata relief
Cauliflower Curry,"Pungent, Sweet",Heating,Pungent,"Balances Vata, Mild Kapha rise"
Veg Curry,"Sweet, Sour, Pungent",Heating,Sweet,"Balances Vata, Pitta while slightly increasing Kapha"
Dolma,"Sweet, Sour",Heating,Sweet,"Balances Pitta; stimulates Kapha reduction, Vata calming"
Ratatouille with Naan,"Sweet, Sour, Umami",Cooling,Sweet,"Balances Kapha, calms Pitta, light for Vata"
Tadka Paneer Wrap,"Sweet, Salty, Spicy",Heating,Pungent,"Increases Pitta during spicy meals, balances Kapha with protein"
Green Thai Curry,"Sweet, Sour, Spicy",Heating,Pungent,"Increases Kapha, stimulates Pitta less when coconut milk moderates heat"
Spiced Chickpea Salad,"Sweet, Sour, Pungent",Cooling,Pungent,"Balances Vata, light for Kapha, may elevate Pitta with citrus zest"
Makhani Chole,"Sweet, Spicy, Sour",Heating,Pungent,"Increases Pitta, balances Kapha when eaten in moderation, may disturb Vata if oily"
Grilled Fish with Lemon,"Sour, Salty, Umami",Cooling,Sour,"Pacifies Vata and Pitta, reduces Kapha when not heavy in oil"
Rajgira Missi Roti,"Sweet, Astringent",Cooling,Sweet,"Balances Vata, Pacifies Kapha"
Gatte ki Sabzi,"Salty, Sour, Pungent",Heating,Pungent,"Balances Vata with warmth, may increase Pitta"
Butter Chicken with Naan,"Sweet, Salty, Pungent",Heating,Sweet,"Balances Pitta, may mildly increase Kapha with rich dairy"
Veggie Stir-Fry with Tofu,"Sweet, Salty, Bitter",Cooling,Sweet,Balances all three doshas with moderate oil use
Makhani Paneer Pizza,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata, increases Kapha slightly due to cheese and ghee"
Samosa (potato),"Sweet, Salty, Fatty",Heating,Pungent,"Increases Pitta, balances Kapha with fiber-rich chutney"
Dal Tathkaal (Three Lentils),"Sweet, Sour, Spicy",Heating,Pungent,"Balances Vata, increases Kapha with ghee-rich serving"
Avial (Mixed Vegetables),"Sweet, Bitter, Astringent",Cooling,Sweet,"Balances Vata and Pitta, light for Kapha reduction"
Quinoa Veggie Burger,"Sweet, Salty, Umami",Cooling,Sweet,Balances all three doshas with balanced toppings
Red Lentil Dal,"Sweet, Pungent",Heating,Pungent,"Balances Kapha, Stimulates Vata"
Garlic Naan with Curry,"Pungent, Salty, Sweet",Heating,Pungent,"Increases Pitta, Balances Vata"
Makhani Pasta with Spinach,"Sweet, Umami, Salty",Cooling,Sweet,"Balances Vata and Kapha, Supports Pitta stability"
Lasagna Primavera,"Sweet, Sour, Umami",Cooling,Sweet,"Balances all doshas, especially Vata"
Ratatouille with Mochi,"Sweet, Bitter, Sour",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Lentil Soup with Carrots,"Sweet, Sour",Cooling,Sweet,"Balances Vata, reduces Kapha slightly"
Caprese Salad with Burrata,"Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Moussaka,"Sweet, Sour",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Sushi (Salmon Nigiri),"Savory, Sweet",Cooling,Sweet,"Balances Vata and Kapha, light on Pitta"
Quinoa Salad with Lemon,"Sour, Sweet",Cooling,Sour,"Balances all doshas, particularly Vata and Kapha when light on oil"
Grilled Salmon with Herb Rice,"Salty, Umami, Sour",Cooling,Sour,"Balances Pitta, Slightly increases Kapha"
Quinoa with Stir-Fried Veg,"Sweet, Astringent, Salty",Cooling,Sweet,"Balances Vata and Kapha, Pitta neutral"
Tofu Stir-Fry with Bok Choy,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, neutral for Pitta"
Butter Chicken (Paneer version),"Sweet, Sour, Pungent",Heating,Sweet,"Increases Pitta, balances Vata, may increase Kapha with dairy richness"
Mujadra,"Savory, Sour",Cooling,Sour,"Balances all doshas, particularly Vata and Kapha when prepared with olive oil"
Tandoori Chicken (Paneer Tikka variant),"Pungent, Sweet",Heating,Pungent,"Increases Pitta, balances Vata with yogurt-based marinade"
Raita,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Pitta, calms Vata, lowers Kapha when used as palate cleanser"
Rasam (South Indian Tamarind Soup),"Sour, Spicy",Cooling,Sour,Balances Vata and Pitta; may reduce Kapha in excess
Sushi Veg Roll,"Sweet, Umami, Sour",Cooling,Sweet,"Balances Kapha; light on Vata, neutral for Pitta"
Caprese Salad with Basil,"Sweet, Sour, Umami",Cooling,Sweet,Balances Vata; gentle on Pitta; Kapha slightly elevated with cheese
Lemon Garlic Salmon,"Sour, Pungent, Salty",Heating,Sour,Balances Vata and Kapha; may increase Pitta with high heat usage
Pho with Vegetables,"Savory, Sweet, Sour",Cooling,Sweet,Balances all doshas when consumed as part of a balanced meal
Chickpea Chaat,"Sweet, Sour, Salty",Heating,Sour,"Stimulates Vata and Pitta, reduces Kapha when cool and tangy"
Shahi Paneer,"Sweet, Nutty",Cooling,Sweet,"Balances Vata and Kapha, reduces Pitta when mildly spiced"
Quinoa Salad,"Sweet, Sour",Cooling,Sweet,Balances all three doshas with light ingredients
Dosa with Sambar,"Sour, Spicy, Umami",Heating,Pungent,Balances Kapha; stimulates Vata digestion; can agitate Pitta if spicy
Ratatouille (Indian-style),"Sweet, Sour",Cooling,Sweet,Balances all three doshas; gentle for Pitta
Sushi Roll (Vegetarian),"Sweet, Umami",Cooling,Sweet,Balances Vata and Kapha; Pitta-neutral or slightly pacified
Paneer Tikka Masala with Quinoa,"Sweet, Pungent, Sour",Heating,Pungent,Balances Pitta with cooling quinoa base; raises Kapha slightly with rich sauce
Cauliflower Tempura,"Salty, Bitter",Heating,Pungent,"Increases Kapha, vata balancing in moderation"
Paneer Bhurji Wrap,"Salty, Sweet",Cooling,Sweet,"Balances Vata, neutral for Pitta and Kapha"
Spicy Shrimp Curry,"Pungent, Sweet",Heating,Pungent,"Increases Pitta, balances Vata, reduces Kapha"
Miso Ramen,"Salty, Umami, Sweet",Cooling,Sweet,"Balances Vata, Pitta, Kapha"
Roti with Ghee,"Sweet, Salty",Cooling,Sweet,"Balanced for Vata and Pitta, nourishing for Kapha"
Sushi Roll (Salmon),"Umami, Sweet, Salty",Cooling,Sweet,"Balances Vata and Kapha, slightly elevates Pitta with rich fats"
Paneer Tikkas,"Salty, Pungent, Sweet",Heating,Pungent,"Stimulates Agni, balances Vata, may elevate Pitta if heavy"
Biryani,"Sweet, Salty, Pungent",Heating,Pungent,"Increases Kapha when rich, balances Vata with spices"
Vegetable Curry,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Kapha and Pitta, pacifies Vata if served warm"
Lentil Dal,"Sweet, Pungent",Heating,Pungent,"Balances Vata, stimulates Kapha mildly"
Cauliflower Rice Stir Fry,"Sweet, Salty, Umami",Cooling,Sweet,Balances all doshas when cooked with minimal oil
Jollof Rice,"Sweet, Sour, Spicy",Heating,Sweet,"Balances Pitta, can mildly increase Kapha with oil."
Makhani Paneer with Naan,"Sweet, Salty, Rich",Cooling,Sweet,Balances Vata and Kapha; gentle on Pitta if not overused.
Mashed Sweet Potato with Ginger,"Sweet, Spicy",Cooling,Sweet,"Calms Vata, nourishes Kapha mildly; Pitta neutral."
Muesli with Yogurt,"Sweet, Sour",Cooling,Sweet,Balances Vata and Kapha; cooling effect helps Pitta.
Chutney Sampler,"Sweet, Sour, Astringent",Cooling,Sweet,"Balances all doshas, especially Vata and Kapha"
Ghar ka Khichdi,"Sweet, Salty",Cooling,Sweet,"Calms Vata and Kapha, neutral to Pitta"
Mutton Biryani,"Sweet, Spicy",Heating,Sweet,"Increases Pitta, balances Vata"
Aged Cheddar Mac and Cheese,"Sweet, Salty, Umami",Cooling,Sweet,"Balances Vata and Kapha, minimal Pitta"
Caprese Salad with Olive Oil,"Sweet, Sour, Salty",Cooling,Sour,"Balances Vata and Pitta, neutral to Kapha"
Butter Masala Pasta,"Sweet, Sour, Rich",Heating,Sweet,"Balances Vata, Increases Kapha with heavy cream"
Makhani Paneer Wrap,"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata, Mild Kapha reduction with yogurt dip"
Soy-Glazed Salmon,"Salty, Sweet",Heating,Sweet,"Balances Kapha, may increase Pitta with rich fats"
Makhani Paneer Tikka,"Sweet, Spicy, Sour",Heating,Pungent,"Balances Vata, increases Kapha with heavy cream"
Veg Hakka Noodles,"Salty, Pungent, Sweet",Heating,Sweet,"Increases Kapha, balances Vata with vegetables intact"
Rasam Pulao,"Sour, Sweet",Heating,Sour,"Balances Kapha, stimulates Agni, reduces Vata heavy moods"
Chole Masala with Bhature,"Pungent, Sweet, Sour",Heating,Pungent,"Increases Pitta, balances Kapha with fiber-rich bhature portions"
Gobi Matar,"Sweet, Sour, Pungent",Cooling,Pungent,"Balances Kapha, slightly aggravates Vata in excess"
Ratatouille with Chickpeas,"Sweet, Sour",Cooling,Sweet,"Balances all doshas, especially Vata and Pitta"
Pesto Pasta with Vegetables,"Sweet, Sour, Umami",Cooling,Sweet,Balancing all doshas with mindful portions
Thai Green Curry with Tofu,"Pungent, Sour, Sweet",Heating,Pungent,"Increases Kapha, balances Vata with cooling coconut milk"
Masala Chai with Biscuit,"Sweet, Spicy",Heating,Sweet,"Vata and Kapha calming, Pitta mildly aggravated by caffeine/tea"
Caprese Salad with Indian twist,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Pitta, minimal Kapha influence"
Roti with Dal Tadka,"Salty, Sweet, Pungent",Heating,Pungent,"Balances Vata, stimulates Pitta, mildly increases Kapha"
Rice Pulao,"Sweet, Salty",Cooling,Sweet,"Balances Kapha, Pacifies Vata"
Quinoa Salad with Cherries,"Sweet, Sour",Cooling,Sweet,"Balances Vata, Pitta"
Tamarind Chutney,"Sour, Sweet",Cooling,Sour,"Increases Pitta, Balances Kapha"
Spiced Chickpea Soup,"Sweet, Pungent, Astringent",Cooling,Sweet,"Balances Vata, Pitta, Kapha"
Masoor Dal</Food>,"Sweet, Salty",Heating,Sweet,"Balances Vata, Pitta"
Raj Kachori,"Sweet, Sour, Spicy",Heating,Sweet,"Increases Kapha, balances Vata"
Paneer Parantha,"Sweet, Salty",Heating,Sweet,Balances Vata and Pitta
Idli Sambhar,"Sweet, Sour, Salty",Cooling,Sweet,"Balances Vata and Kapha, supports digestion; light for Pitta"
Cauliflower Pakoda,"Sweet, Salty, Pungent",Heating,Pungent,"Increases Kapha when fried, balances Vata with legumes"
Sambar with idli,"Sweet, Sour, Spicy",Cooling,Sour,"Balances Vata and Pitta, gentle on Kapha when served with idli"
Veggie Sushi,"Salty, Sour",Cooling,Sour,"Balances Kapha and Pitta, light on Vata"
Dockside Sushi Roll,"Umami, Salty",Cooling,Sour,"Balances Pitta, reduces Kapha"
Rajpuri Paneer Tikka,"Pungent, Sweet",Heating,Pungent,"Balances Vata and Pitta, mildly increases Kapha"
Rajma (Kidney Beans) with Rice,"Sweet, Salty",Heating,Sweet,"Increases Kapha, supports balanced Pitta when spiced moderately"
Vegetable Spring Roll,"Sweet, Salty, Pungent",Heating,Pungent,"Increases Kapha in oily preparation, balances Vata with fiber content"
Paneer Paratha with Spinach,"Sweet, Salty, Astringent",Heating,Sweet,"Balances Vata, strengthens Kapha when dairy-heavy, supports Pitta with greens"
Hakka Noodles,"Salty, Sweet, Sour",Heating,Sweet,Balances Vata; can stimulate Kapha if greasy
Rajbhog Rasgulla,Sweet,Cooling,Sweet,Balances Vata and Kapha; Pitta remains neutral unless sugar is excessive
Rajkishmala Khichdi,"Sweet, Astringent",Cooling,Sweet,Balancing for Vata with gentle Pitta support
Agnolotti Alfredo (Vegetarian),"Sweet, Salty, Umami",Heating,Sweet,"Balances Vata, may mildly increase Kapha with cheese content"
Hasta Curry Veg,"Pungent, Sweet",Heating,Pungent,"Balances Pitta, supports Vata reduction in heavy meals"
Gnocchi Pomodoro,"Sweet, Sour, Umami",Cooling,Sweet,"Balances all three doshas, with gentle Vata grounding"
Biriyani (vegetarian),"Sweet, Salty, Pungent",Heating,Sweet,"Increases Kapha, balances Pitta"
Grilled Paneer Sandwich,"Salty, Sweet, Pungent",Heating,Sweet,"Balances Kapha, stimulates Pitta"
Masoor Dal with Spinach,"Sweet, Pungent",Cooling,Sweet,Balances Vata and Kapha
Cauliflower Buffalo Wings,"Salty, Pungent",Heating,Pungent,"Increases Kapha, reduces Vata"
Palak Chole,"Sweet, Pungent, Sour",Heating,Sweet,"Balances all doshas, with Kapha influence"
Spicy Veg Curry,"Pungent, Sweet",Heating,Pungent,"Increases Vata and Pitta, balances Kapha in moderation"
Keema Muttu (Minced Meat),"Salty, Spicy, Sour",Heating,Pungent,Increases Vata and Pitta; balances Kapha when lean
Biriyani (Vegetarian),"Sweet, Salty, Spicy",Heating,Pungent,Balances all doshas when prepared with balanced spices
Pho-inspired Veggie Noodle Bowl,"Umami, Sweet, Sour",Cooling,Sweet,Balances Kapha; light for Vata and Pitta
Spicy Chickpea Wrap,"Pungent, Sweet, Astringent",Heating,Pungent,Stimulates Vata and Pitta; reduces Kapha when not heavy
Lemon Herb Grilled Fish,"Sour, Salty, Fresh",Cooling,Sour,Balances Pitta; calms Vata; reduces Kapha when overdone
Pulao/Biryani (Vegetarian),"Sweet, Salty",Heating,Sweet,"Balances Vata, Pitta; Slight Kapha increase"
Butter Chicken (Punjabi style),"Sweet, Salty",Heating,Sweet,Balances Vata; Increases Pitta and Kapha
Rogan Josh (Mutton),"Pungent, Spicy",Heating,Pungent,"Increases Pitta and Kapha, balances Vata"
Tom Yum (Vegetarian),"Sour, Pungent",Cooling,Sour,Balances Kapha and Pitta; Vata slightly reduced
Spiced Quinoa Salad,"Sweet, Astringent, Salty",Cooling,Sweet,"Balances Vata and Kapha, Pitta stable"
Rajgira Roti with Amla chutney,"Sweet, Sour, Astringent",Cooling,Sour,"Balances Vata, supports digestion, reduces Kapha"
Sushi Roll,"Salty, Umami, Sweet",Cooling,Sweet,"Balances Vata and Kapha, with light Pitta impact"
Blue Cheese Risotto,"Creamy, Salty, Sour",Heating,Sour,"Balances Vata and Pitta, increases Kapha"
Tamarind Rice (Chitranna),"Sour, Sweet, Salty",Cooling,Sour,Balances Vata and Pitta with acidity moderated by rice; Kapha neutral.
Spinach Lasagna,"Sweet, Umami, Bitter",Cooling,Sweet,Balances Vata and Pitta; Kapha may rise with cheese-heavy layers.
Tom Yum Veg,"Sour, Spicy, Salty",Heating,Pungent,"Balances Kapha and Pitta, mildly reduces Vata when sourness is kept moderate"
Tiramisu (Vegetarian),Sweet,Cooling,Sweet,"Balances Vata and Kapha, mildly elevates Kapha if overeaten"
Grilled Salmon with Herbs,"Salty, Umami",Cooling,Sweet,Balances Vata and Pitta; Kapha may be slightly increased with rich butter sauces
Chili Garlic Noodles,"Pungent, Salty",Heating,Pungent,Increases Kapha and Pitta with high chili; balances Vata when moderate heat is present
Rasam (South Indian Tomato Curry),"Sour, Bitter",Heating,Sour,"Lightens Kapha, balances Pitta, can dampen Vata in warmth"
Hydrabadi Biryani,"Sweet, Pungent, Salty",Heating,Sweet,Balances all three doshas with careful oil use and spices
Quinoa Paneer Bowl,"Sweet, Salty, Sour",Cooling,Sweet,"Balances Vata and Kapha, supports Pitta when not heavily spiced"
Butter Rice,"Sweet, Rich",Cooling,Sweet,"Balances Vata, Pitta"
Vegetable Stir Fry,"Sweet, Salty, Astringent",Cooling,Sweet,"Balances Vata, Kapha"
Spicy Garlic Noodles,"Salty, Pungent",Heating,Pungent,"Increases Kapha and Pitta, balances Vata when consumed in moderation"
Momos (Vegetable),"Sweet, Salty, Pungent",Cooling,Sweet,"Balances Vata and Pitta, elevates Kapha if fried, gentle for overall digestion"
Sautéed Spinach with Garlic,"Bitter, Astringent, Salty",Cooling,Pungent,"Balances Vata and Pitta, mildly reduces Kapha"
Jalfrezi,"Spicy, Sour",Heating,Pungent,"Balances Vata, can aggravate Pitta with excess chili"
Ragi Dosa,"Bitter, Astringent",Cooling,Sour,"Balances Vata and Pitta, raises Kapha if served with ghee in excess"
Lemon Hummus with Pita,"Sour, Salty, Umami",Cooling,Sour,"Balances Vata and Kapha, energizes Pitta with citrus"
Butter Chicken (Makhani),"Sweet, Sour, Salty",Heating,Sweet,Increases Kapha; balances Pitta when spicy-sour elements are moderate
Dd Bakery Chocolate Cake,"Sweet, Fatty",Heating,Sweet,Increases Kapha; balances Vata if eaten in moderation
Tadka Dal,"Sweet, Pungent",Heating,Pungent,"Balances Vata, Reduces Kapha when spiced moderately"
Paneer Tawa,"Sweet, Salty, Pungent",Heating,Pungent,"Balances Kapha, Invigorates Vata, moderates Pitta with mild chili"
